sample,selected_source,source_rows,abnormal_termination_rows,truncated_with_text_rows,empty_rows,near_empty_rows,small_output_rows,any_anomaly_rows,has_abnormal_termination,has_truncated_with_text,has_empty,has_near_empty,has_small_output,has_any_anomaly
accounting1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
accounting2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
accounting3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
accounting4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
accounting5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
accounting6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
audiosyn1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
audiosyn4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
calendar1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
calendar5,official_baseline_v2,20,2,1,1,0,1,2,True,True,True,False,True,True
chess2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
chess3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
chess4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
chess5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
chess6,official_baseline_v2,20,5,2,3,1,4,6,True,True,True,True,True,True
circuit1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
circuit2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
circuit4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
circuit5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
crystal1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
crystal4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
crystal6,official_problem15_fill,20,7,2,5,0,5,7,True,True,True,False,True,True
dbschema1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
dbschema2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
dbschema3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
dbschema4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
dbschema5,official_baseline_v2,20,3,1,2,0,2,3,True,True,True,False,True,True
dbschema6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
dns1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
dns3,official_baseline_v2,20,4,1,3,0,3,4,True,True,True,False,True,True
docker1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
docker2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
docker3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
docker4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
docker5,official_baseline_v2,20,5,2,3,0,3,5,True,True,True,False,True,True
docker6,official_baseline_v2,20,8,4,4,0,4,8,True,True,True,False,True,True
earncall1,official_baseline_v2,20,2,1,1,0,1,2,True,True,True,False,True,True
earncall2,official_baseline_v2,20,4,3,1,1,2,5,True,True,True,True,True,True
earncall3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
earncall4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
earncall5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
earncall6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
edifact1,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
edifact2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
edifact3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
edifact6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
emails5,official_baseline_v2,20,3,0,3,0,3,3,True,False,True,False,True,True
emails6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
filesystem1,official_baseline_v2,20,2,0,2,1,3,3,True,False,True,True,True,True
filesystem2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
filesystem3,official_problem15_fill,20,1,0,1,2,3,3,True,False,True,True,True,True
filesystem4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
filesystem5,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
filesystem6,official_baseline_v2,20,3,2,1,1,2,4,True,True,True,True,True,True
fonteng1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
fonteng2,official_baseline_v2,20,1,0,1,1,2,2,True,False,True,True,True,True
fonteng3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
fonteng4,official_baseline_v2,20,1,1,0,0,0,1,True,True,False,False,False,True
fonteng5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
fonteng6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
foodmenu1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
foodmenu2,official_baseline_v2,20,2,0,2,0,2,2,True,False,True,False,True,True
foodmenu3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
foodmenu4,official_baseline_v2,20,2,0,2,0,2,2,True,False,True,False,True,True
foodmenu5,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
foodmenu6,official_baseline_v2,20,0,0,0,0,0,0,False,False,False,False,False,False
genealogy5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
genealogy6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
geodata1,official_baseline_v2,20,3,3,0,0,0,3,True,True,False,False,False,True
geodata2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
geodata4,official_baseline_v2,20,1,0,1,13,14,14,True,False,True,True,True,True
geotrack1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
geotrack2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
geotrack3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
geotrack4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
geotrack5,official_baseline_v2,20,5,3,2,0,2,5,True,True,True,False,True,True
geotrack6,official_baseline_v2,20,4,2,2,0,2,4,True,True,True,False,True,True
graphviz1,official_baseline_v2,20,1,1,0,0,0,1,True,True,False,False,False,True
graphviz3,official_baseline_v2,20,7,3,4,0,4,7,True,True,True,False,True,True
graphviz4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
graphviz5,official_baseline_v2,20,6,2,4,0,4,6,True,True,True,False,True,True
graphviz6,official_baseline_v2,20,5,2,3,1,4,6,True,True,True,True,True,True
hamradio1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
hamradio2,official_baseline_v2,20,1,0,1,5,6,6,True,False,True,True,True,True
hamradio3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
hamradio5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
hamradio6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
infra1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
infra2,official_baseline_v2,20,5,0,5,0,5,5,True,False,True,False,True,True
infra3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
infra4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
infra5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
infra6,official_baseline_v2,20,7,1,6,3,9,10,True,True,True,True,True,True
jobboard1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
jobboard2,official_baseline_v2,20,3,2,1,4,5,7,True,True,True,True,True,True
jobboard3,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
jobboard4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
jobboard5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
jobboard6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
json1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
json2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
json3,official_baseline_v2,20,5,4,1,0,1,5,True,True,True,False,True,True
json4,official_baseline_v2,20,1,0,1,11,12,12,True,False,True,True,True,True
json5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
json6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
landmarks1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
landmarks2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
landmarks3,official_baseline_v2,20,6,3,3,0,3,6,True,True,True,False,True,True
landmarks4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
landmarks5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
landmarks6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
latex1,official_baseline_v2,20,2,0,2,0,2,2,True,False,True,False,True,True
latex2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
latex3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
latex4,official_baseline_v2,20,2,1,1,0,1,2,True,True,True,False,True,True
latex5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
latex6,official_baseline_v2,20,2,0,2,2,4,4,True,False,True,True,True,True
libcatalog2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
libcatalog3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
libcatalog5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
libcatalog6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
makefile1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
makefile2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
makefile3,official_baseline_v2,20,5,2,3,1,4,6,True,True,True,True,True,True
makefile4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
makefile6,official_baseline_v2,20,4,4,0,2,2,6,True,True,False,True,True,True
malware1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
malware2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
malware3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
malware4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
malware5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
malware6,official_baseline_v2,20,6,2,4,0,4,6,True,True,True,False,True,True
mathlean1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
mathlean2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
mathlean3,official_baseline_v2,20,1,0,1,2,3,3,True,False,True,True,True,True
mathlean4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
mathlean5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
mathlean6,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
molecule1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
molecule2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
molecule3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
molecule4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
molecule5,official_baseline_v2,20,4,2,2,1,3,5,True,True,True,True,True,True
molecule6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
musicsheet1,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
musicsheet2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
musicsheet3,frozen_fr,20,1,0,1,1,2,2,True,False,True,True,True,True
musicsheet4,official_baseline_v2,20,0,0,0,0,0,0,False,False,False,False,False,False
musicsheet5,official_baseline_v2,20,3,1,2,0,2,3,True,True,True,False,True,True
musicsheet6,official_baseline_v2,20,3,0,3,0,3,3,True,False,True,False,True,True
obj3d1,official_baseline_v2,20,4,0,4,0,4,4,True,False,True,False,True,True
obj3d2,official_problem15_fill,20,7,3,4,3,7,10,True,True,True,True,True,True
obj3d3,official_baseline_v2,20,5,0,5,5,10,10,True,False,True,True,True,True
obj3d4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
obj3d5,official_baseline_v2,20,6,2,4,1,5,7,True,True,True,True,True,True
obj3d6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
protein1,official_baseline_v2,20,2,1,1,0,1,2,True,True,True,False,True,True
protein2,official_baseline_v2,20,6,0,6,1,7,7,True,False,True,True,True,True
protein3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
protein4,official_baseline_v2,20,5,1,4,0,4,5,True,True,True,False,True,True
protein5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
