experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,1,forward,true,,fullrewrite,success,not_applicable,,,,4200,94047,98247,788364,none,none,exp_20260710_frbaseline234-raw-v1,call000001_301b1403,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt01/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,1,backward,true,,fullrewrite,success,not_applicable,,0.5,false,14293,11114,25407,87110,none,none,exp_20260710_frbaseline234-raw-v1,call000002_d657e40e,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt01/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,2,forward,true,,fullrewrite,success,not_applicable,,,,2641,16560,19201,154882,none,none,exp_20260710_frbaseline234-raw-v1,call000003_ef340fa5,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt02/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,2,backward,true,,fullrewrite,success,not_applicable,,0.49919871794871795,false,3601,8426,12027,85966,none,none,exp_20260710_frbaseline234-raw-v1,call000004_f6179436,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt02/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,3,forward,true,,fullrewrite,success,not_applicable,,,,3232,11392,14624,76288,none,none,exp_20260710_frbaseline234-raw-v1,call000005_d088bee1,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt03/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,3,backward,true,,fullrewrite,success,not_applicable,,0.5,false,3662,4607,8269,42020,none,none,exp_20260710_frbaseline234-raw-v1,call000006_063b372f,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt03/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,4,forward,true,,fullrewrite,success,not_applicable,,,,3081,30327,33408,273417,none,none,exp_20260710_frbaseline234-raw-v1,call000007_2df7bf12,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt04/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,4,backward,true,,fullrewrite,success,not_applicable,,0.5,false,3702,13954,17656,90422,none,none,exp_20260710_frbaseline234-raw-v1,call000008_0bcdd52b,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt04/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,5,forward,true,,fullrewrite,success,not_applicable,,,,3036,19506,22542,182988,none,none,exp_20260710_frbaseline234-raw-v1,call000009_266f7bb7,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt05/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,5,backward,true,,fullrewrite,success,not_applicable,,0.5,false,2708,5915,8623,48818,none,none,exp_20260710_frbaseline234-raw-v1,call000010_6709a689,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt05/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,6,forward,true,,fullrewrite,success,not_applicable,,,,3011,9526,12537,62335,none,none,exp_20260710_frbaseline234-raw-v1,call000011_c5def861,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt06/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,6,backward,true,,fullrewrite,success,not_applicable,,0.49994067832296807,false,3033,8070,11103,64024,none,none,exp_20260710_frbaseline234-raw-v1,call000012_e2276ccf,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt06/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,7,forward,true,,fullrewrite,success,not_applicable,,,,3136,64817,67953,562928,none,none,exp_20260710_frbaseline234-raw-v1,call000013_25d8de11,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt07/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,7,backward,true,,fullrewrite,success,not_applicable,,0.49994067832296807,false,6177,17338,23515,123646,none,none,exp_20260710_frbaseline234-raw-v1,call000014_39bcb2cf,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt07/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,8,forward,true,,fullrewrite,success,not_applicable,,,,3028,6116,9144,47479,none,none,exp_20260710_frbaseline234-raw-v1,call000015_4dd598db,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt08/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,8,backward,true,,fullrewrite,success,not_applicable,,0.49994067832296807,false,3321,3651,6972,34790,none,none,exp_20260710_frbaseline234-raw-v1,call000016_0c7acd5e,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt08/backward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,9,forward,true,,fullrewrite,success,not_applicable,,,,2996,7437,10433,52554,none,none,exp_20260710_frbaseline234-raw-v1,call000017_5737aead,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt09/forward
exp_20260710_frbaseline234,accounting1,accounting,fullrewrite,9,backward,true,,fullrewrite,success,not_applicable,,0.49994067832296807,false,3033,4649,7682,33352,none,none,exp_20260710_frbaseline234-raw-v1,call000018_3963b0ea,exp_20260710_frbaseline234-raw-v1#fullrewrite/accounting1/rt09/backward
