experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,1,forward,true,,fullrewrite,failure,not_applicable,,0.0,,3672,4977,8649,37823,model,empty_response,exp_20260713_frbaseline_v2_rerun-raw-v1,call000001_993614e4,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt01/forward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,1,backward,true,,fullrewrite,failure,not_applicable,,0.0,false,270,407,677,5651,quality,content_regression,exp_20260713_frbaseline_v2_rerun-raw-v1,call000002_369b9a8c,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt01/backward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,2,forward,true,,fullrewrite,success,not_applicable,,,,312,2333,2645,17883,none,none,exp_20260713_frbaseline_v2_rerun-raw-v1,call000003_b72d5eef,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt02/forward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,2,backward,true,,fullrewrite,failure,not_applicable,,0.0,false,2381,4170,6551,33592,model,text_truncated,exp_20260713_frbaseline_v2_rerun-raw-v1,call000004_143a2847,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt02/backward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,3,forward,true,,fullrewrite,degraded,unchanged,,0.0,,373,510,883,7338,quality,content_regression,exp_20260713_frbaseline_v2_rerun-raw-v1,call000005_c7187f06,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt03/forward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,3,backward,true,,fullrewrite,failure,not_applicable,,0.0,false,312,474,786,7510,quality,content_regression,exp_20260713_frbaseline_v2_rerun-raw-v1,call000006_6e32e168,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt03/backward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,4,forward,true,,fullrewrite,degraded,unchanged,,0.0,,297,434,731,4845,quality,content_regression,exp_20260713_frbaseline_v2_rerun-raw-v1,call000007_263f8b98,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt04/forward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,4,backward,true,,fullrewrite,failure,not_applicable,,0.0,false,274,257,531,4269,quality,content_regression,exp_20260713_frbaseline_v2_rerun-raw-v1,call000008_7e80ba68,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt04/backward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,5,forward,true,,fullrewrite,degraded,unchanged,,0.0,,375,573,948,6383,quality,content_regression,exp_20260713_frbaseline_v2_rerun-raw-v1,call000009_db13b99b,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt05/forward
exp_20260713_frbaseline_v2_rerun,calendar5,calendar,fullrewrite,5,backward,true,,fullrewrite,failure,not_applicable,,0.0,false,308,360,668,10126,quality,content_regression,exp_20260713_frbaseline_v2_rerun-raw-v1,call000010_c148b41c,exp_20260713_frbaseline_v2_rerun-raw-v1#fullrewrite/calendar5/rt05/backward
