experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,1,forward,true,,bounded_rewrite,success,applied,0,,,6451,18541,24992,115298,none,none,exp_20260707_hybridv3dev20-raw-v1,call000001_bf5974be,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt01/forward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,1,backward,true,,bounded_rewrite,success,applied,0,1.0,false,6778,13284,20062,92451,none,none,exp_20260707_hybridv3dev20-raw-v1,call000002_2d26727c,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt01/backward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,2,forward,true,,bounded_rewrite,success,applied,0,,,6476,24255,30731,215186,none,none,exp_20260707_hybridv3dev20-raw-v1,call000003_cc4892c4,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt02/forward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,2,backward,true,,bulk_patch,success,applied,0,1.0,false,6480,2475,8955,25615,none,none,exp_20260707_hybridv3dev20-raw-v1,call000004_f6601817,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt02/backward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,3,forward,true,,bounded_rewrite,success,applied,0,,,6497,14522,21019,99043,none,none,exp_20260707_hybridv3dev20-raw-v1,call000005_17b110ea,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt03/forward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,3,backward,true,,bounded_rewrite,success,applied,0,1.0,false,7168,32018,39186,301385,none,none,exp_20260707_hybridv3dev20-raw-v1,call000006_1daf7cc6,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt03/backward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,4,forward,true,,bounded_rewrite,success,applied,0,,,6483,13368,19851,93406,none,none,exp_20260707_hybridv3dev20-raw-v1,call000007_181dde57,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt04/forward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,4,backward,true,,bounded_rewrite,success,applied,0,1.0,false,7161,11922,19083,98008,none,none,exp_20260707_hybridv3dev20-raw-v1,call000008_1a2828c3,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt04/backward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,5,forward,true,,bounded_rewrite,success,applied,0,,,6449,18988,25437,137331,none,none,exp_20260707_hybridv3dev20-raw-v1,call000009_c6451e86,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt05/forward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,5,backward,true,,local_patch,success,applied,0,1.0,false,6423,8653,15076,56854,none,none,exp_20260707_hybridv3dev20-raw-v1,call000010_d1cf1299,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt05/backward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,6,forward,true,,bounded_rewrite,success,applied,0,,,6790,37341,44131,289200,none,none,exp_20260707_hybridv3dev20-raw-v1,call000011_733b7e31,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt06/forward
exp_20260707_hybridv3dev20,circuit2,circuit,hybridpatch,6,backward,true,,bounded_rewrite,success,applied,0,0.944919,false,7149,11655,18804,89154,none,none,exp_20260707_hybridv3dev20-raw-v1,call000012_07764955,exp_20260707_hybridv3dev20-raw-v1#hybridpatch/circuit2/rt06/backward
