experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,1,forward,true,,bounded_rewrite,success,applied,0,,,7207,54094,61301,329936,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000001_b2c341cc,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt01/forward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,1,backward,true,,bounded_rewrite,success,applied,0,0.9944351785960757,false,17766,46110,63876,240570,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000002_e536deab,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt01/backward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,2,forward,true,,bounded_rewrite,success,applied,0,,,7222,28777,35999,191554,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000003_aec7ad0f,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt02/forward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,2,backward,true,,bounded_rewrite,success,applied,0,0.909839907768875,false,9699,11070,20769,61606,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000004_a281126f,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt02/backward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,3,forward,true,,bounded_rewrite,success,applied,0,,,7992,32211,40203,165050,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000005_a4044ebc,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt03/forward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,3,backward,true,,bounded_rewrite,degraded,applied,0,0.5,true,20955,35053,56008,215831,quality,content_regression,exp_20260708_hybridv3dev20full-raw-v1,call000006_f680a51a;call000007_3e1ae338,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt03/backward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,4,forward,true,,bounded_rewrite,success,applied,0,,,7644,39582,47226,218350,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000008_1eea1ca6,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt04/forward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,4,backward,true,,bounded_rewrite,success,applied,0,0.5,false,17292,25803,43095,142322,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000009_b2689a74,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt04/backward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,5,forward,true,,bounded_rewrite,success,applied,0,,,16812,31876,48688,204744,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000010_35b40fd2;call000011_349009e4,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt05/forward
exp_20260708_hybridv3dev20full,accounting1,accounting,hybridpatch,5,backward,true,,bounded_rewrite,success,applied,0,0.5,false,8197,22902,31099,137830,none,none,exp_20260708_hybridv3dev20full-raw-v1,call000012_20241951,exp_20260708_hybridv3dev20full-raw-v1#hybridpatch/accounting1/rt05/backward
