experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,1,forward,true,,local_patch,success,applied,0,,,9888,3890,13778,33269,none,none,exp_20260711_hybridv6val40-raw-v1,call000001_d57077f7,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt01/forward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,1,backward,true,,local_patch,success,applied,0,0.9999999999999999,false,10022,4315,14337,29876,none,none,exp_20260711_hybridv6val40-raw-v1,call000002_c321cce4,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt01/backward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,2,forward,true,,bounded_rewrite,success,applied,0,,,9876,11092,20968,76141,none,none,exp_20260711_hybridv6val40-raw-v1,call000003_2c538f80,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt02/forward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,2,backward,true,,bounded_rewrite,success,applied,0,0.9999999999999999,false,8543,9547,18090,60797,none,none,exp_20260711_hybridv6val40-raw-v1,call000004_64cae986,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt02/backward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,3,forward,true,,bounded_rewrite,success,applied,0,,,9855,31282,41137,254824,none,none,exp_20260711_hybridv6val40-raw-v1,call000005_243348a6,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt03/forward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,3,backward,true,,local_patch,success,applied,0,0.9999999999999999,false,10577,6943,17520,57928,none,none,exp_20260711_hybridv6val40-raw-v1,call000006_f572e9d5,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt03/backward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,4,forward,true,,bounded_rewrite,success,applied,0,,,9787,42945,52732,273240,none,none,exp_20260711_hybridv6val40-raw-v1,call000007_703ade3c,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt04/forward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,4,backward,true,,bounded_rewrite,failure,applied,0,0.0,true,12030,32669,44699,219626,evaluator,evaluator_error,exp_20260711_hybridv6val40-raw-v1,call000008_59e32fb5,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt04/backward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,5,forward,true,,bounded_rewrite,success,applied,0,,,9781,31434,41215,209705,none,none,exp_20260711_hybridv6val40-raw-v1,call000009_26901d8e,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt05/forward
exp_20260711_hybridv6val40,crystal6,crystal,hybridpatch,5,backward,true,,local_patch,failure,applied,0,0.0,false,9586,37317,46903,236245,evaluator,evaluator_error,exp_20260711_hybridv6val40-raw-v1,call000010_b6c58a5e,exp_20260711_hybridv6val40-raw-v1#hybridpatch/crystal6/rt05/backward
