experiment_id,sample_id,domain,method,round_trip,direction,canonical_included,exclusion_reason,execution_route,execution_status,commit_outcome,preservation_violations,rs,critical_failure,input_tokens,output_tokens,total_tokens,latency_ms,failure_stage,failure_label,raw_artifact_id,raw_call_ids,raw_ref
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,1,forward,true,,local_patch,success,applied,0,,,9774,5455,15343,31963,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000001_e754632b,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt01/forward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,1,backward,true,,local_patch,success,applied,0,0.9999999999999999,false,9908,8090,18112,51393,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000002_c1d46180,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt01/backward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,2,forward,true,,bounded_rewrite,success,applied,0,,,9746,23207,33067,118809,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000003_6d53e263,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt02/forward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,2,backward,true,,bounded_rewrite,success,applied,0,0.9999999999999999,false,8089,8577,16780,41244,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000004_c0d866ad,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt02/backward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,3,forward,true,,bounded_rewrite,success,applied,0,,,9723,29706,39543,173709,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000005_d8c9b699,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt03/forward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,3,backward,true,,bulk_patch,success,applied,0,0.9857142857142857,false,10465,10912,21491,76557,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000006_b7aa3bb8,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt03/backward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,4,forward,true,,bounded_rewrite,success,applied,0,,,9646,39591,49351,223488,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000007_70a4d56b,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt04/forward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,4,backward,true,,local_patch,failure,applied,0,0.0,true,11439,55652,67205,321641,evaluator,evaluator_error,exp_20260712_hybridv7val40_transportv3-raw-v1,call000008_8829833f,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt04/backward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,5,forward,true,,local_patch,success,applied,0,,,9659,21764,31537,144758,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000009_31281ddb,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt05/forward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,5,backward,true,,bounded_rewrite,failure,applied,0,0.0,false,9462,41548,51124,228743,evaluator,evaluator_error,exp_20260712_hybridv7val40_transportv3-raw-v1,call000010_2fd97f7b,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt05/backward
exp_20260712_hybridv7val40_transportv3,crystal6,crystal,hybridpatch,6,forward,true,,local_patch,success,applied,0,,,9450,6639,16203,38246,none,none,exp_20260712_hybridv7val40_transportv3-raw-v1,call000011_c6ac7395,exp_20260712_hybridv7val40_transportv3-raw-v1#hybridpatch/crystal6/rt06/forward
